gwb_code,year,a_inw,a_man,a_vrouw,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,bev_dich,a_lan_ha
WK036396,2020,18385,8745,9640,9215,4565.0,1510.0,3145.0,7084,260
WK036397,2020,11325,5615,5715,5575,2535.0,1135.0,1910.0,6177,183
WK036398,2020,1625,780,845,685,200.0,190.0,300.0,925,175
WK036300,2019,4295,2400,1890,3040,2100.0,690.0,250.0,12292,35
WK036301,2019,4120,2225,1890,2915,1990.0,720.0,200.0,7219,57
WK036302,2019,6370,3375,2995,4105,2565.0,1035.0,495.0,14234,45
WK036303,2019,5380,2905,2475,3405,2110.0,835.0,455.0,10369,52
WK036304,2019,9670,5015,4650,6435,4245.0,1365.0,825.0,13603,71
WK036305,2019,9310,4635,4670,5720,3485.0,1250.0,980.0,17012,55
WK036306,2019,19420,9860,9560,13000,8655.0,2635.0,1705.0,23271,83
WK036307,2019,7255,3730,3525,4645,2925.0,1070.0,645.0,13048,56
WK036308,2019,7740,4120,3620,4585,2920.0,1045.0,615.0,9970,78
WK036309,2019,13245,6610,6630,7945,4755.0,1635.0,1550.0,13422,99
WK036310,2019,175,110,60,135,110.0,5.0,10.0,9,2010
WK036311,2019,860,515,345,735,640.0,85.0,5.0,120,720
WK036312,2019,2395,1230,1165,1265,580.0,355.0,325.0,7301,33
WK036313,2019,10785,5335,5445,6190,3625.0,1240.0,1320.0,7893,137
WK036314,2019,13165,6605,6555,7975,4740.0,1725.0,1505.0,27816,47
WK036315,2019,2480,1180,1295,1275,640.0,255.0,380.0,4770,52
WK036316,2019,8310,4145,4165,5145,3185.0,1140.0,815.0,23174,36
WK036317,2019,4640,2325,2310,2890,1730.0,705.0,455.0,21352,22
WK036318,2019,6525,3325,3195,3870,2360.0,880.0,625.0,25877,25
WK036319,2019,7025,3475,3550,4510,2925.0,890.0,695.0,28154,25
WK036320,2019,7460,3630,3825,4585,2780.0,1015.0,785.0,22267,34
WK036321,2019,7915,3855,4055,4830,2845.0,1185.0,790.0,26562,30
WK036322,2019,1835,945,890,1020,600.0,215.0,205.0,8481,22
WK036323,2019,3845,2050,1790,2650,1840.0,495.0,310.0,1815,212
WK036324,2019,14755,7460,7290,9795,6390.0,2175.0,1230.0,23248,63
WK036325,2019,12375,5955,6420,7885,4925.0,1775.0,1180.0,24092,51
WK036326,2019,8195,3930,4265,4860,2815.0,975.0,1065.0,23233,35
WK036327,2019,5830,2955,2870,3605,2205.0,795.0,600.0,15771,37
WK036328,2019,10855,5400,5450,6490,3900.0,1335.0,1250.0,15027,72
WK036329,2019,10185,5010,5170,5855,3455.0,1180.0,1215.0,17153,59
WK036330,2019,9250,4540,4710,5025,2745.0,1050.0,1225.0,25065,37
WK036331,2019,12625,6335,6285,7060,3925.0,1555.0,1575.0,26944,47
WK036332,2019,10055,5030,5020,5260,2820.0,1075.0,1360.0,10705,94
WK036333,2019,18840,9485,9350,9550,4130.0,2605.0,2815.0,12201,154
WK036334,2019,3650,1835,1815,2445,1685.0,450.0,310.0,1476,248
WK036335,2019,15460,7730,7730,6185,2000.0,1185.0,2995.0,13776,112
WK036336,2019,545,320,225,315,165.0,105.0,40.0,455,120
WK036337,2019,18890,9335,9555,10335,5575.0,2320.0,2440.0,18491,102
WK036338,2019,5885,2820,3060,3385,1805.0,915.0,665.0,16230,36
WK036339,2019,10160,5010,5150,5205,2930.0,885.0,1390.0,14100,72
WK036340,2019,6815,3320,3490,4065,2310.0,1025.0,725.0,24739,28
WK036341,2019,7515,4095,3420,3395,2000.0,760.0,625.0,26068,29
WK036342,2019,10360,5200,5160,6060,3475.0,1385.0,1190.0,25958,40
WK036343,2019,6920,3275,3640,4000,2125.0,1050.0,820.0,21732,32
WK036344,2019,11810,5500,6310,7085,3950.0,1820.0,1310.0,13918,85
WK036345,2019,3930,1840,2090,2510,1570.0,555.0,390.0,13574,29
WK036346,2019,5495,2700,2790,2645,1160.0,655.0,835.0,8611,64
WK036347,2019,12725,6235,6490,6855,3585.0,1660.0,1620.0,9690,131
WK036348,2019,11820,5575,6245,6850,3735.0,1535.0,1585.0,12351,96
WK036349,2019,8630,4100,4530,4075,1780.0,935.0,1365.0,9766,88
WK036350,2019,0,0,0,0,0.0,0.0,0.0,.,40
WK036351,2019,8250,3975,4275,3135,975.0,510.0,1660.0,12448,66
WK036352,2019,15100,6940,8160,8435,4460.0,2055.0,1925.0,15270,99
WK036353,2019,5305,2535,2770,3330,2035.0,720.0,585.0,20716,26
WK036354,2019,9105,4275,4830,5715,3435.0,1295.0,1000.0,9438,97
WK036355,2019,11300,5680,5615,6360,3825.0,1280.0,1265.0,7143,158
WK036356,2019,15870,7565,8305,8550,4575.0,1785.0,2195.0,5600,283
WK036357,2019,3260,1525,1730,1965,1150.0,400.0,425.0,2996,109
WK036358,2019,4795,2430,2360,3200,2380.0,575.0,255.0,1685,285
WK036359,2019,1335,625,710,665,320.0,160.0,190.0,3498,38
WK036360,2019,9645,4770,4870,5030,2535.0,935.0,1570.0,8074,119
WK036361,2019,8270,4175,4095,4405,2360.0,830.0,1220.0,6977,119
WK036362,2019,3525,1640,1885,1850,835.0,440.0,580.0,8210,43
WK036363,2019,1880,915,965,930,395.0,220.0,320.0,11164,17
WK036364,2019,1685,830,850,645,160.0,180.0,310.0,4714,36
WK036365,2019,11710,5645,6065,5475,2285.0,1210.0,1985.0,7368,159
WK036366,2019,8895,4325,4570,4065,1580.0,930.0,1565.0,3512,253
WK036367,2019,3285,1580,1705,1360,380.0,375.0,620.0,2437,135
WK036368,2019,13185,6450,6735,5880,2595.0,1080.0,2215.0,9255,142
WK036369,2019,11125,5330,5795,5945,3300.0,1200.0,1455.0,7367,151
WK036370,2019,14415,7060,7355,6510,2860.0,1280.0,2375.0,8703,166
WK036371,2019,4055,2145,1910,2580,1640.0,570.0,375.0,1622,250
WK036372,2019,325,225,100,230,170.0,55.0,15.0,477,68
WK036373,2019,2310,1180,1130,950,280.0,290.0,390.0,93,2477
WK036374,2019,2850,1455,1395,1170,390.0,260.0,530.0,3493,82
WK036375,2019,6205,3040,3160,3260,1650.0,745.0,875.0,24474,25
WK036376,2019,9345,4865,4475,4485,2295.0,725.0,1475.0,9702,96
WK036377,2019,17975,9170,8805,8660,4415.0,1455.0,2800.0,7997,225
WK036378,2019,16255,8155,8100,7005,3045.0,1225.0,2740.0,12313,132
WK036379,2019,2445,1210,1235,1035,315.0,310.0,420.0,1119,219
WK036380,2019,1125,605,520,395,155.0,110.0,140.0,212,533
WK036381,2019,16290,8005,8280,8630,4570.0,1820.0,2245.0,10339,158
WK036382,2019,15755,7700,8055,7030,3140.0,1340.0,2560.0,15264,103
WK036383,2019,6130,3150,2975,2765,1385.0,505.0,880.0,10250,60
WK036384,2019,14530,7180,7345,5920,1895.0,1345.0,2690.0,9630,151
WK036385,2019,8060,4025,4035,3760,1695.0,770.0,1300.0,7263,111
WK036386,2019,13915,6795,7120,7310,4145.0,1405.0,1770.0,9569,145
WK036387,2019,10575,5575,4995,6515,4205.0,1310.0,1005.0,7486,141
WK036388,2019,13960,6870,7090,6195,2090.0,1725.0,2385.0,2991,467
WK036389,2019,10640,5150,5490,5690,3290.0,1025.0,1380.0,8519,125
WK036390,2019,13530,6310,7220,7795,4430.0,1735.0,1635.0,4753,285
WK036391,2019,7915,3745,4170,4515,2655.0,1010.0,855.0,5166,153
WK036392,2019,710,390,320,565,530.0,25.0,20.0,143,498
WK036393,2019,24170,12205,11960,13475,8155.0,1675.0,3650.0,7984,303
WK036394,2019,29455,14760,14695,15495,8470.0,2250.0,4785.0,7955,370
WK036395,2019,2920,1535,1385,1770,1025.0,410.0,345.0,1335,219
WK036396,2019,18255,8690,9560,9175,4525.0,1515.0,3140.0,7034,260
WK036397,2019,11435,5670,5760,5590,2535.0,1090.0,1980.0,6238,183
WK036398,2019,1605,770,830,675,185.0,200.0,295.0,916,175
WK036300,2018,4305,2395,1910,3090,2180.0,665.0,245.0,12323,35
WK036301,2018,3930,2150,1775,2835,2000.0,635.0,195.0,6881,57
WK036302,2018,6385,3375,3005,4110,2570.0,1030.0,505.0,14261,45
WK036303,2018,5350,2890,2455,3410,2140.0,800.0,465.0,10303,52
WK036304,2018,9765,5090,4675,6485,4285.0,1325.0,870.0,13741,71
WK036305,2018,9305,4650,4655,5670,3415.0,1255.0,990.0,17007,55
WK036306,2018,19435,9825,9610,12985,8625.0,2590.0,1765.0,23289,83
WK036307,2018,7235,3735,3500,4670,2990.0,1050.0,630.0,13012,56
WK036308,2018,7860,4130,3730,4915,3245.0,1035.0,630.0,10125,78
WK036309,2018,13210,6610,6600,7965,4795.0,1610.0,1555.0,13388,99
WK036310,2018,195,125,70,145,120.0,10.0,15.0,10,2010
WK036311,2018,525,350,175,475,440.0,20.0,5.0,73,720
WK036312,2018,1115,585,530,655,365.0,160.0,125.0,3411,33
WK036313,2018,10780,5355,5420,6270,3680.0,1195.0,1390.0,7890,137
WK036314,2018,13315,6675,6640,8105,4860.0,1720.0,1520.0,28139,47
WK036315,2018,2420,1170,1250,1240,610.0,245.0,390.0,4660,52
WK036316,2018,8435,4225,4205,5160,3165.0,1160.0,840.0,23520,36
WK036317,2018,4705,2355,2345,2925,1745.0,720.0,465.0,21646,22
WK036318,2018,6590,3345,3240,3950,2460.0,855.0,640.0,26135,25
WK036319,2018,6990,3485,3505,4535,3005.0,835.0,705.0,28005,25
WK036320,2018,7410,3590,3820,4580,2835.0,965.0,790.0,22124,34
WK036321,2018,7890,3835,4055,4840,2910.0,1125.0,810.0,26482,30
WK036322,2018,1860,945,915,1045,625.0,215.0,210.0,8592,22
WK036323,2018,3700,2050,1645,2630,1905.0,465.0,270.0,1747,212
WK036324,2018,14820,7515,7305,9875,6510.0,2120.0,1250.0,23353,63
WK036325,2018,12325,5965,6355,7905,5015.0,1720.0,1175.0,23998,51
WK036326,2018,8200,3890,4310,4905,2875.0,955.0,1080.0,23247,35
WK036327,2018,5535,2780,2755,3470,2180.0,745.0,555.0,14984,37
WK036328,2018,10890,5425,5460,6460,3835.0,1365.0,1265.0,15076,72
WK036329,2018,10065,4965,5100,5805,3465.0,1170.0,1180.0,16956,59
WK036330,2018,9340,4585,4755,5125,2865.0,1010.0,1255.0,25306,37
WK036331,2018,12640,6365,6275,7060,3930.0,1570.0,1565.0,26985,47
WK036332,2018,10215,5125,5085,5350,2890.0,1095.0,1375.0,10876,94
WK036333,2018,18545,9340,9205,9315,4045.0,2430.0,2850.0,12011,154
WK036334,2018,3135,1600,1535,2210,1625.0,355.0,240.0,1267,248
WK036335,2018,14820,7395,7420,5770,1760.0,1075.0,2945.0,13204,112
WK036336,2018,505,295,210,285,155.0,100.0,35.0,421,120
WK036337,2018,18560,9185,9370,10210,5620.0,2190.0,2405.0,18164,102
WK036338,2018,5845,2825,3020,3380,1830.0,900.0,660.0,16128,36
WK036339,2018,10075,4985,5090,5140,2895.0,870.0,1385.0,13983,72
WK036340,2018,6895,3330,3565,4170,2455.0,970.0,750.0,25044,28
WK036341,2018,7135,3875,3260,3395,2020.0,745.0,635.0,24754,29
WK036342,2018,10415,5175,5235,6055,3495.0,1340.0,1235.0,26086,40
WK036343,2018,6945,3340,3605,4080,2245.0,1040.0,810.0,21808,32
WK036344,2018,11835,5490,6345,7140,4060.0,1750.0,1340.0,13948,85
WK036345,2018,3820,1815,2000,2445,1520.0,550.0,380.0,13187,29
WK036346,2018,5500,2710,2785,2625,1160.0,625.0,850.0,8617,64
WK036347,2018,12625,6145,6480,6815,3565.0,1660.0,1600.0,9613,131
WK036348,2018,11790,5500,6290,6960,3925.0,1500.0,1540.0,12319,96
WK036349,2018,8640,4080,4555,4110,1835.0,935.0,1350.0,9775,88
WK036350,2018,0,0,0,0,0.0,0.0,0.0,.,40
